movie,stars,review
We Are Freestyle Love Supreme,6,a surefire way to far sate your appetite for hamilton now on disney+ and in the height in theater next year andrew fry s we be freestyle love supreme be a fond look back at lin-manuel miranda s other other claim to fame an improv rap collective that be start by some dorky college boy back in 2005 and wound up change the face of broadway over the decade that follow more accurately this featherlight documentary be a nice and fluffy portrait…
The Tobacconist,4,finally a movie that have the courage to ask be it okay to be horny during the holocaust while nikolaus leytner s the tobacconist pose several other provocative question along the way this stiff and milquetoast coming-of-age drama — the kind of thing that might have bait manhattan s bluehairs to arthouse theater all summer long in a less disastrous year — fails to ask any of them with the same clarity and probably would have fare much well have it stuck…
Me and You and Everyone We Know,9,miranda july s me and you and everyone we know premier at sundance in late january 2005 a few short week before youtube go live on valentine s day the follow month myspace be in it infancy twitter hadn t even be conceive and facebook be still new enough that most people just use it to poke stranger they didn t have the courage to wave at in class you search your own name to find all the other yous who d secretly be out…
We Are Little Zombies,7,the first word of nagahisa makoto s we be little zombie be spoken by a deadpan and disembody 13-year-old game boy addict name hikari ninomiya keita a he watch his parent waft out the smokestack of a tokyo crematorium today mommy turn to dust so do daddy dusty a parmesan on a plate of bolognese. a gleam wad of spaghetti appear over the giant chimney a if photoshopped into the sky hikari lose both member of his small family a few…
Greyhound,4,at some point in his long and beloved career tom hank begin to transition from america s sweetheart to america s serenity he steel a troop of soldier on a veritable suicide mission in save private ryan remain stoic a somali pirate hijack his container ship in captain phillips and land u airway flight 1549 in the hudson without lose a single one of the 155 soul on board in sully. it s a screen image that have naturally spill over into real…
The Outpost,6,another gun and glory war movie about young american soldier have to shoot their way out of some rat nest they should never have be sent to in the first place rod lurie s the outpost be a familiar but uncommonly visceral reminder of what it really mean to support the troops. set during america s war in afghanistan — which technically mean that it could take place anytime between 2001 and god know when — lurie s film dramatizes the bloodiest and…
Slalom,7,the coldest and most unforgiving movie about skiing this side of downhill racer — and just a fascinate by the loneliness of bombing down the slope with the world at your back — charlène favier s slalom be a familiar story of sexual abuse but one told with such bracing intensity that it snap across your face like a blast of cold mountain air from the opening moment of her debut feature favier pivot between powerlessness and control with the same…
Hamilton,8,lin-manuel miranda s hamilton go supernova the second it open on broadway in july of 2015 almost instantly become a cultural touchstone a well a the hottest ticket in town even when an obstruct view of the richard rodgers theatre be more expensive than an orchestra seat anywhere else it be still hard to find someone who felt like they be overcharge but while a lot of stubhub resellers get very very rich off the frenzy around the tony-winning show not…
Beats,6,oontz oontzuh oontz oontzuh oontz oontzuh oontz oevery generation have that moment right before they re force to grow up and everything go to shit — before society herd them into the adult life they never want but have to accept in lieu of a well stable for the former raver and ruffian of mid- 90 scotland whose already fading dream be squelch out completely by a government decree that criminalize public music characterize by the emission of a succession of repetitive…
House of Hummingbird,7,a warm still life about a teenager s struggle to find herself in a country that s race to do the same kim bora s house of hummingbird so patiently contrast it contemplative coming-of-age story against the backdrop of south korea s hyper-modernization that even it stillest and most tender scene can feel like an optical illusion specifically the wagon-wheel effect where something spin forward so fast that it appear to be move in reverse kim bora s semi-autobiographical or at least age-aligned debut is…
Eurovision Song Contest: The Story of Fire Saga,4,like efficient railroad or universal healthcare the annual eurovision song contest be one of those international phenomenon that most american refuse to acknowledge conceive in the 1950s a a way of bring europe together through the magical power of light entertainment and copious hairspray eurovision have basically evolve into the olympics of pop music but despite the fact that the competition have serve a a launch pad for global superstar like abba and celine dion the average american couldn t seem…
Irresistible,4,the most famous tv moment of jon stewart s 16-year tenure a the host of the daily show actually happen on a different program altogether a the sober-minded satirist drop by cnn s crossfire in 2004 and nuked the long-running political debate program from the inside out like an oil rigger detonate a truth bomb from deep within the heart of a giant asteroid before it wipe out all intelligent life on earth refer to host tucker carlson and paul begala as…
A Whisker Away,6,it s easy to appreciate why netflix s late anime import have be retitled a whisker away for it worldwide release not only be it a cute and well-earned pun on spirit away it s also a pretty succinct way of cobble together this movie s two major sell point childhood fantasy and giant-eyed feline on the other hand the project s amazingly expressive original title — literally translate from japanese a want to cry i pretend to be a cat — really cut to…
Girl Walk // All Day,9,new york city have always be under attack sometimes those attack be a obvious a a plane be pilot into a skyscraper sometimes those attack be a subtle a a starbucks crush the bone of your local bodega and sometimes those attack be a point a much-loathed knicks owner james dolan ban a disgruntle ticket-buyer from madison square garden this city be built on the promise that it would belong to the people who live here — that it would…
Sometimes Always Never,4,not to be confuse with eliza hittman s extraordinary abortion drama never rarely sometimes always carl hunter s bittersweet quirkfest sometimes always never boast three quarter of that other film s title and a much small fraction of it value of course this strange overlap be really only worth mention because hunter s cock-eyed comedy — the fable-esque tale of a sarky widowed scrabble obsessive who s determine to find the teenage son who storm out of the house and disappear forever during a heated…
The King of Staten Island,7,judd apatow s work bear any number of personal signature but it boil down to the two thing he love most of all overlong movie about overgrown man-children and help commercially unproven comedian become huge star by make film and hbo show in which they embody lightly fictionalize version of themselves so while an 140-minute dramedy in which snl breakout pete davidson essentially play dete pavidson might sound like a risky gamble for a major studio to release at the height…
The Last Days of American Crime,2,it s hard to imagine that the definitive studio movie about trump-era authoritarianism would come from the guy behind take 2 and take 3 but that sure didn t stop him from try of course you should never doubt the delusional self-confidence of a man who change his last name to megaton just a you should never put your faith in a filmmaker who s basically the mr. brainwash to luc besson s banksy here s the thing about the last day of american crime
The Force,7,this may not sound like the right time to recommend a vérité documentary about good cop make a genuine effort to stop kill black civilian but peter nick 2017 the force be a portrait of police reform that illustrates the futility of police reform and an urgent film to watch in the wake of george floyd and breonna taylor s murder among so many others for the same reason that it might initially seem like a reprehensible choice in 2003 the…
Judy & Punch,6,if be john malkovich taught u anything it s that marriage and puppet just don t mix even behind close door and drop curtain some men always need to feel like they re pull the string of course that lesson predate spike jonze by a few hundred year trace all the way back to the punch and judy show that sprung out of the comedia dell arte tradition in 16th century italy before move north and be perpetuate a a victorian pastime how fitting…
End of Sentence,6,the first thing you ight notice about elfar adalsteins end of sentence a tender unfussy and reward father-son drama that trust in the purity of it premise be that it seem to have everything backwards john hawkes should be play the bitter jailbird and logan lerman — who s almost single-handedly kept the nice jewish boy archetype relevant and appeal thanks to his work in the like of indignation and amazon s hunter — should be the nervous wreck who let people…
Yi Yi,10,try to indicate the scale of a movie so immense and full of life that it can t possibly be described only experienced the british critic nigel andrew write that call ‘ yi yi a three-hour taiwanese family drama be like call ‘ citizen kane a film about a newspaper. it s a clever line but those who haven t see edward yang s final masterpiece could easily mistake it for a cop-out at a passing glance it seem like the kind of thing someone in…
The Lovebirds,4,a madcap misadventure that start with a gruesome vehicular homicide end with a parody of the orgy sequence from eye wide shut and spends the rest of it time scramble around new orleans with two of the world s most dynamic comic talent this side of hobbs and shaw the lovebird sound like 16 million well spent — if not a total balm for the bleakness around u then at least one of this lose summer s few surefire delight throw in…
The Trip to Greece,7,now arrive at it fourth and allegedly final installment michael winterbottom s the trip series have establish rob brydon and steve coogan a one of the funniest comic duo this side of laurel and hardy but these movie — for all of their duel michael caine impression and michelin-delicious meal — have always be suffuse with a deep and abide sense of sadness they re not shy about that the regret loneliness and middle-aged malaise come wrap in a contraceptive of philomena
The Wolf House,7,it might be hyperbolic or unhelpful to label cristóbal león and joaquín cociña s the wolf house a the darkest animate movie ever make but merely describe this stop-motion nightmare should be enough to explain the impulse a grimmer-than-grimm fairy tale inspire and ostensibly produce by colonia dignidad — the cult-like chilean enclave found by german fugitive paul schäfer an insatiable pedophile who rap the member of his community provide shelter to nazi war criminal like josef mengele and torture pinochet s…
Titanic,10,all life be a game of luck
Irma Vep,10,when the news broke that olivier assayas be collaborate with a24 on a tv version of irma vep the only truly surprising thing about it be that the project have be conceive before the pandemic like zoom orgy government-sanctioned bleach injection and the popular wisdom that andrew cuomo be somehow good at his job the prospect of assayas remake his 1996 masterpiece be one of those thing that would have seem unfathomable just a few short month ago even for…
Castle in the Ground,6,even a castle in the ground begin to fray and fall apart joey klein s dour but grip opioid drama remains believable for how perfectly it dovetail with it grieve protagonist like 19-year-old henry fine alex wolff — a nice jewish boy who life with his die mom neve campbell in a necrotic sudbury apartment complex — the film be sensitive and mesmeric and oh so close to moment of cathartic beauty and like 19-year-old henry fine — a grieve orphan…
Capone,4,a necrotic gangster biopic that double a one of modern cinema s most unforgiving self-portrait josh trank s capone do for scarface what gu van sant s last day do for kurt cobain not a lot and in excruciate detail but while both film offer a bleak look at the final chapter of a fabled rock star s life this one have the chutzpah to be so much bleaker if van sant s movie be strung out trank s be utterly zombified hardy once again combines…
The Hidden Fortress,9,at certain point in their career even cinema s great auteur have need to cover their ass with a hit it s the nature of the beast and even the most thoroughly housebroken of pet still need to be fed for akira kurosawa — a soft-hearted tyrant who lord over his set like an emperor tame the feral toshirô mifune into one of filmdom s most nuanced star and remapped the possibility of his medium with arthouse classic and rouse samurai epic alike…
Clementine,5,an erotic psychodrama about a recently dumped young woman who think of her new heartache like a curse she need to pas on to someone else before it kill her lara jean gallagher s clementine begin with an intimate little scene that shadow the rest of the movie we meet karen otmara marrero in some iphone footage that her unseen ex-girlfriend shot in bed one morning — a love needy close-up wake up i need inspiration a sober english voice intones…
On a Magical Night,6,a zesty palate cleanser of sort after his wrench sorry angel — but in some way a much weightier film than writer-director christophe honoré have left himself the strength to carry — on a magical night be a fanciful tale of marriage and it malcontent a mute sex farce that unfolds like an overwhelmingly french twist on a christmas carol for people who be sick of their spouse honoré say he be desperate to film chiara mastroianni s anxious forehead and…
Spaceship Earth,6,on september 26 1991 the world watch a eight visionary hippy dress up a cosmonaut and seal themselves inside the massive environmentally self-sustaining 150 million glass vivarium where they would live together for the next two year the facility be dubbed biosphere 2 a man-made sequel to earth that would offer a microcosmic glimpse of our impact on the planet and explore the possibility of replicate it elsewhere in the galaxy a non-profit that be populate by the member of…
Have a Good Trip: Adventures in Psychedelics,3,it can be a lot of semi-sadistic fun to watch someone have a bad trip and it can be a lot of share fun to listen to celebrity reminisce about the bad trip they ve survive in the past but it s generally agonize to sit down and do either of those thing for more than an hour that sad fact of life prof to be an insurmountable problem for donick cary s have a good trip adventure in psychedelics an exasperate netflix…
Annihilation,9,in light of a catastrophe large enough to refract our entire life through it prism even the most innocuous thing have a funny way of seem newly relevant or illuminate — every piece of pop culture be suddenly reveal to be a nostalgic reminder of what we ve lost…
All Day and a Night,5,a sober but dramatically inert crime saga about a young black man try to free himself from the cycle of violence into which he be born joe robert cole s all day and a night never shy away from the fact that it s sing a familiar tune same fuckin story on repeat the narration sigh from the top a if the film be already look to scapegoat it own predictability on that of the prison-industrial complex but the most vital thing…
Capital in the Twenty-First Century,6,a the occupy wall street movement begin to crest and millennials the world over start to realize they d be the first generation since world war ii to make less money than their parent french economist thomas piketty have the good fortune to release a hyper-readable book that explain why or at least offer a lucid argument for liberal to debate and conservative to deny capital in the twenty-first century move 1.5 million copy in it first two year of release
Blood Quantum,5,a george romero first discover — and horde of other filmmaker have since refine — zombie be a fun and effective vehicle for address the most intractable anxiety of the modern world even bone-deep social ill have a funny way of seem more digestible when explore through a story about people rabidly eat each other s entrails a scattershot but clear-eyed bit of midnight madness that render colonialism a a literal plague jeff barnaby s blood quantum may bite off more human…
Robert the Bruce,4,the best thing about robert the bruce — a heartfelt but exasperate and unfocused braveheart sequel that find angus macfadyen reprise his role from that oscar-winning epic — be that it doesn t find a role for mel gibson ala the bad thing about this generic follow-up be that it almost make you wish that it have despite forsake the massive scale and maniacal egotism of gibson s blockbuster in favor of something a bit more life-sized and contain read cheaper richard…
Kokoloko,6,kokoloko be a film about frustration — it s a woozy and violent product of the same inertia that it so viscerally portrays nine year ago the gift mexican filmmaker gerardo naranjo seem poise for a bold career on the international stage cartel thriller miss bala have coalesce the raw energy of the writer-director s earlier work into a bitter lament for the collateral damage that drug war have sown across his homeland and hollywood be eager to import naranjo s talent north…
Extraction,4,from thor to fat thor and various role in between chris hemsworth have never be shy about use silliness to subvert his god-like good look drawn like a time square caricature of an abercrombie fitch model the australian star have always be willing and able to shape the absurdity of his sex appeal into the punchline of a joke that we re all in on together or at least use it to suspend our disbelief in a cartoonish movie world that…
"What's Up, Doc?",8,have any movie more explicitly and damningly nuked *another* movie more than this one do in it final second just delightful
Mad Max Beyond Thunderdome,6,`` he 's get word stuff from his as to his mouth ''
The Big Knife,5,aldrich be a bit off his game in a cloister showbiz melodrama that ca n't uncuff itself from odets play but it 's always fun to see ida lupino flex her muscle and rod steiger a a maniacal studio chief be predictably just… chef 's kiss chef 's make-out chef 's use just the right amount of tongue
Throne of Blood,8,
The Harder They Fall,7,`` some guy can sell out some guy ca n't '' i know bogart hat him but rod steiger give one of the best heavy performance i 've ever see he 's bracingly modern and alive in a good movie that can get a bit stodgy in the corner when he be n't there to keep it honest
The Hunger,7,my son turn 4 month old so i decide it be finally time to show him the hunger well late than never i suppose i think he like it — do n't poop once i usually just log stuff i watch for work but i 'm not work for the next few week everything else be completely normal tho
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),6,take a month off work to take care of my son new york paid family leave hey at least it 's something ™ '' and finally decide to watch this because he have a blowout 2 minute in to paper moon and that sorta ruin the moon so i need to call an audible if you do n't know what a `` blowout '' be imagine the baby equivalent of suicide squad it 's wet it 's awful and it stain everything it touch anyway bird of prey…
The Invisible Man,7,ca n't decide if that tech dude 's mansion would be a good place to be quarantine or a terrify desolate super drafty place to be quarantine although at this point i 'm start to feel like *any* house — even the kind of desolate cliffside fortress that 's basically just what a billionaire tech bro might design after watch heat once — would be nice to be stuck inside these day at least my son ca n't crawl yet and my…
Resistance,3,it might sound like a backhand compliment to say that jesse eisenberg s antic performance a french mime marcel marceau be the best thing about jonathan jakubowicz s resistance but it s not well it s not a backhand compliment to eisenberg anyway the giddy standout of a bizarre and half-baked holocaust thriller that s otherwise absent any clear sense of self the star of the social network be an inspire — if also logical — choice to play another jewish icon who change the…
Dark City Beneath the Beat,7,**while the 2020 sxsw film festival have be cancel due to the coronavirus indiewire be cover select title from this year s edition ** in 1927 filmmaker walter ruttman render berlin a a cinematic symphony in 2020 tt the artist us her camera to remix baltimore into a 65-minute banger a full-body ode to her hometown and the incredible people who keep it bounce in spite of everything else dark city beneath the beat isn t just a blood-stained but ecstatically hopeful love…
I Will Make You Mine,6,**while the 2020 sxsw film festival have be cancel due to the coronavirus indiewire be cover select title from this year s edition ** a typically winsome new addition to what have now become one of cinema s most casual trilogy i will make you mine be a long-awaited gift for a small cult of fan those who ve be follow goh nakamura s romantic misadventure since surrogate valentine first introduce them to a fictionalize version of the lovelorn singer-songwriter in 2011. nakamura return shortly…
The Platform,6,sometimes all you need to make a decent movie be a lot of food a brilliant set and a single metaphor stretch two hour long and several hundred story tall galder gaztelu-urrutia s the platform be not a subtle film but these be unsubtle time with unsubtle problem and the most alarm thing about this grimly affect spanish allegory — which literalizes capitalism s dehumanize verticality with twice the gross-out terror of parasite and almost half of that masterpiece s furious grace —…
Finding Yingying,6,**while the 2020 sxsw film festival have be cancel due to the coronavirus indiewire be cover select title from this year s edition ** leave china for the first time in her short life 26-year-old zhang yingying arrive at the university of illinois at urbana-champaign in april 2017 she be there to conduct research on photosynthesis and crop productivity and perhaps later enroll in the doctoral program before return home to marry her lovely boyfriend hou xiaolin and run her own ecology…
Shithouse,8,***while the 2020 sxsw film festival have be cancel due to the coronavirus indiewire be cover select title from this year s edition *** it s a shame that cooper raiff s shithouse didn t get a chance to screen at this year s sxsw because this know and funny nano-budget debut be exactly the kind of film the austin festival exists to showcase and that s all the more true because it sound like such a potential nightmare on paper write direct and co-edited by its…
I Still Believe,3,hot off the breakthrough success of 2018 s i can only imagine alabaman brother andrew and jon erwin be back to convert an even wider secular audience with another harmless and tin-eared christian rock biopic that combine the melodrama of douglas sirk with the edginess of bible camp but while i still believe name-checks jesus so often that he should probably get residual for it this heartrending true story about love loss and the universal struggle to make sense of our…
The Hunt,6,the hunt begin with a bunch of npr-addicted neoliberal poach a wild pack of trump-worshipping maga type for bloodsport director craig zobel s ultra-violent satirical update of the most dangerous game aspires to be the movie that america need right now it s a giddy slaughterhouse of mirror that hope to bring this country together and make it great again by reflect the absurdity of u v them resentment the movie literalizes the rhetoric of a culture war that have divide the…
Spenser Confidential,2,a far cry from the previous four movie that mark wahlberg and director peter berg have make together the two men voltron-ing into a single creative entity that will henceforth be refer to a wahlberg the hilariously title spenser confidential be a high-testosterone action thriller about a red-blooded blue-collared perpetually open-mouthed american patriot who decides to take matter into his own hand when some bad guy besmirch the good name of these united state just kid — the only significant…
The Banker,4,the kind of light and hokey biopic that a cool substitute teacher might show to a semi-interested ap history class the banker tell the little-known story of bernard garrett a brilliant and enterprising black man who broke through two of america s most racist industry by hire a white handyman to play the face of his business consider in that context it s blackkklansman for math nerd but absent the shit-stirring righteousness that make spike lee s film so much fun on the…
The Burnt Orange Heresy,4,a slinky but inert euro-thriller that split the difference between abbas kiarostami and françois ozon in a futile effort to forge both of their talent giuseppe capotondi s the burnt orange heresy be a movie about the value of art that offer little in the way of artistic value what it do have — in spade — be elizabeth debicki swanning around the well-monied bank of lake como a a mysterious connoisseur whose sultry exterior may or may not hide another…
The Way Back,7,modern hollywood s messy comeback artist be finally ready to show his work on screen and there isn t a moment to waste you can tell from the first minute of the way back that construction worker jack cunningham be unlike any character ben affleck have ever played before — he s not try to impress anyone there s no twinkle in his eye no swagger in his step no smartest guy in the room energy to the way he carry himself he murmurs…
Irradiated,7,evil will hunt u if we don t throw it out from u with open palm a disembody voice declares to u in french at the start of irradiate rithy panh s mesmerizingly bleak montage of war in the 20th century at the top of the sky be pain it always come a a surprise. and so the great onslaught begin a the bomb rain down from the heaven and the image crack into three perfect square that stretch across the screen…
Charlatan,6,a year after mr jones polish director agnieszka holland have make another fascinate but disjoint biopic about a little-known figure whose story help to reveal the soul of 20th century europe charlatan introduces u to the strange case of jan mikolášek played by in the shadow star ivan trojan an herbalist who defiantly refuse to nationalize his practice in post-war czechoslovakia much to the consternation of the country s volatile communist party but don t let the white medical coat fool you
The Jesus Rolls,6,a remake of a controversial 1974 french comedy that also double a a feature-length spin-off for a character who appear in two scene of a coen brother movie 22 year ago the jesus roll be a picaresque curio about an accuse pedophile name the jesus quintana — a cartoonish puerto rican man played by the film s italian-american writer-director — who get out of jail reunites with his best friend and immediately embarks upon a sweet and breezy crime spree that s…
The Roads Not Taken,5,molly elle fan be sick of the way that people tend to dehumanize her dad javier bardem a soon a they realize that he suffers from some kind of advanced dementia the cab driver be nice enough but the dentist the eye doctor and even leo s ex-wife laura linney talk to him a if he s nothing more than his tragically premature condition why do everyone always refer to dad a if he s not here molly asks her mom and the…
Funny Face,6,a bold new entry into the ripe and rapidly expand sub-genre of movie about people suffer though james dolan s new york the much-loathed ceo of the madison square garden company be also namechecked in uncut gem tim sutton s funny face begin with a premise that will make perfect sense to any long-suffering new yorker what if the joker be a knicks fan well begin may not be the most accurate verb to use here — a with most of sutton s…
Siberia,4,less than a year after premier tommaso at cannes — maybe the most ground of movie that renegade auteur abel ferrara have make with long-time muse willem dafoe — the bronxiest of filmmaker pivot in the exact opposite direction for a mythopoetic head-trip that try to cross the endless tundra between jack london and carl jung only to eat itself alive a soon a soon a it get lose set at the snowy end of the universe and inspire by…
Kill It and Leave This Town,6,if you get high than you ve ever be in your whole life and then try to draw all of your childhood memory on a series of post-it note the result might look a little something like mariusz wilczyński s kill it and leave this town a psychotropic vision quest through the animator s own past that blur the living and the dead into a bittersweet orgy of squiggle and undefinable sadness so lo-fi that it make don hertzfeldt look like walt disney
Ordinary Love,6,ordinary love isn t really a movie about cancer even though this tender and discreet portrait of a marriage on fire begin with a woman lesley manville ask her longtime husband liam neeson to feel the lump she find under her left breast it isn t even a movie about die even though lisa barros d sa and glenn leyburn s direction cast a moribund pall over the drama from the moment it start on the contrary — and true to the title of…
Fantasy Island,2,just how dire be hollywood s dependence on intellectual property the sonic the hedgehog movie wasn t even this week s most desperate attempt to bring an old brand into multiplex not that reboot abc s fantasy island for the big screen be an inherently bad idea — the 1977 television show s ‘ twilight zone in paradise vibe be always sunny and evergreen — but there s a real whiff of desperation to the way that blumhouse have dust it off and this slapdash programmer is…
Sonic the Hedgehog,3,with sincere condolence to the underpaid animator who spent the last four month in panic mode sonic the hedgehog s grotesque human teeth have turn out to be the least of his movie s problem if it s any consolation just remember that someone once spent a torturous amount of time design the curtain for the titanic of course the people who design the curtain for titanic be reward with an oscar for best art direction but let s not worry about that right…
A Shaun the Sheep Movie: Farmageddon,7,fan of 2015 s winsome shaun the sheep movie would be forgiven for worry that it sequel might betray the simple pleasure of the original and the long-running tv series that inspire it after all the previous film be about a mischievous sheep travel to the big city in order to find his miss farmer and the new one be subtitle farmageddon. but anyone bracing for the stop-motion equivalent of a michael bay movie — anyone convince that aardman animation has…
Doctor Sleep,4,someone forgot to cut out all the dumb shit about psychic child a if stanley kubrick do n't leave them all the clue
Emma.,7,silly thing do cease to be silly if they be do by sensible people in an impudent way jane austen write in emma justify the frivolous nature of the last novel she publish before her death two year later the central purpose — maybe even the lofty ambition — of any film adapt from austen s book should be to support that claim and to do so with enough conviction to subvert the universally acknowledge truth that some work of art…
Time,9,on it surface garrett bradley s time asks a simple question how can you convey the full length of 21 year in the span of a single film let alone a documentary that run just 81 minute and from it degrade opening image — borrow from the first of a thousand video message that a black louisiana woman name sibil fox richardson aka fox rich record for her husband a she wait for him to be release from the state penitentiary…
The Last Shift,6,a breezy yet bittersweet little drama about an age white fast-food worker richard jenkins who s tasked with training his young black replacement shane paul mcghie after 38 year behind the counter of albion michigan s shittiest burger joint andrew cohn s the last shift have all the hallmark of an insufferably pat story about the search for common ground in america and the evidence only continue to mount throughout the first half of the film a each new plot detail conspires to…
The Social Dilemma,7,perhaps the single most lucid succinct and profoundly terrify analysis of social medium ever create for mass consumption jeff orlowski s the social dilemma do for facebook what his previous documentary chase ice and chase coral do for climate change read bring compelling new insight to a familiar topic while also scar the absolute shit out of you and while the film cover — and somehow manages to contain — a stagger breadth of topic and ramification one little sentence is…
Uncle Frank,4,played by sharp object breakout sophia lillis beth have always look up to her uncle frank paul bettany he couldn t be more different from the rest of their ultra-conservative south carolina family or from any of the adult beth know in the small town where she s live all her life and it s not just because he life in new york or actually look his niece in the eye when he speaks to her and listens to what she have to…
Dick Johnson Is Dead,8,film your love one before they re go make your own memory store them on netflix it s easy to watch something than to recall it a lovely joyful documentary — kore-eda s after life here on earth
Zola,7,weird how this be adapt from a twitter thread cause it have such overwhelm `` i do it for the gram '' energy a zillion possible read on this one but i like it for how it explores the rift between real and imagine american life need an end but janicza bravo mica levi and everyone else involve in the sound of this movie… damn if you close your eye you can practically hear the internet everyone 's good in this even if your…
The Nowhere Inn,6,a portlandia remake of mulholland dr. star st. vincent a laura harring and carrie brownstein a naomi watt there 's a scene where annie clark absentmindedly play her nintendo switch dr. anspaugh from er show up for some reason it 's be a long fuck time since i first saw st vincent on the marry me tour and now i 'm old a fuck strange mercy the soundtrack of sundance 2020 8 star
The Father,8,at once both an unsettlingly accurate simulation of what it s like to love someone with dementia and also a strikingly believable conception of what it s like to live a someone with dementia florian zeller s the father envisions senility a a house of mirror in which everyone loses sight of themselves adapt from zeller s award-winning play of the same name and direct with a firm hand by the playwright himself this m.c escher draw of a movie chip away at the…
Tesla,7,before the light go down at the world premiere of tesla writer-director michael almereyda say that his unconventional biopic of the famously enigmatic futurist be inspire by derek jarman henry james and certain episode of ‘ drunk history. he wasn t kid what start a an earnest if lyrical profile of the man who invent elon musk soon explodes into something more appropriately postmodern when nikola tesla ethan hawke and thomas edison kyle maclachlan get into a heat ice cream fight and…
The Evening Hour,6,almost certainly the gentlest drama you ll ever see about the collateral damage of the opioid crisis braden king s the even hour shine on a rural appalachian town like a golden ray of fading sunlight a dark a the story get this hyper-empathetic film never fails to see it character a decent people try to make the best of a bad situation this be the kind of movie that open with someone reading a bible verse over a shot of mountain…
Feels Good Man,7,nobody own anything on the internet — not really just because you create something doesn t mean that it belongs to you and while that sort of digital socialism might read like a sad reflection on the impropriety of the information age the truth be that idea have be open-source since the dawn of time richard dawkins coin the term meme in 1976 a a way to distinguish the growth of thought from the evolution of gene and define it as…
Palm Springs,8,there have be so many riff on the groundhog day formula that it can sometimes feel like the movie themselves be stuck in an endless time loop but each subsequent iteration have tweaked the original in some way 50 first date strip away the unexplainable metaphysics of it all for a romantic comedy that be equal part adam sandler and oliver sack edge of tomorrow add alien tom cruise and gear of war cosplay to the mix before i fall
Minari,9,told with the rugged tenderness of a flannery o connor novel but aptly name for a resilient korean herb that can grow wherever it s plant lee isaac chung s semi-autobiographical minari be a raw and vividly remember story of two simultaneous assimilation it s the story of a family assimilate into a country but also the story of a man assimilate into his family jacob yi steven yeun and his wife monica sea fog star han yeri emigrate from korea together in the…
Assassins,6,we live in a golden age of artless documentary that have no discernible purpose or ambition beyond regurgitate the recent past for people who would rather spend 90 minute watch something on netflix than 10 minute reading the same information on wikipedia but the truth be that thing have gotten so out of hand that you can t even believe that certain thing have happen until you see them with your own two eye or until a trustworthy filmmaker have laid…
Possessor,6,a queasy and intrigue horror-inflected techno-thriller that get lose somewhere in the bermuda triangle between mandy inception and ghost in the shell brandon cronenberg s possessor be so drunk on it own sick potential that it doesn t have the time or the balance require to realize most of it on the other hand 90 minute of andrea riseborough and christopher abbott engage in ultra-gory psychic warfare over control of the latter s body be more satisfy than what most of the current…
Kajillionaire,7,maybe i m project but miranda july s kajillionaire feel like a movie by someone who look at their newborn child wonder how do i not fuck this up how do i love them just the right amount how long can hair get be massage refundable small pancake stuff like that
The Night House,6,once you have your first brush with death it can seem like it s always call to you from the far shore of the river styx after dodge a bullet or lose a love one you might hear charon the ferryman whisper in your ear from time to time beckoning you to cross over to come back to the void to embrace the eternal that s just one of the fun thought that may be run through your mind during the first…
Us Kids,5,how do you make a movie about the gun crisis in america how do you document a plague in a country that have become so desensitize to the pain it cause how — at a time of such rampant inhumanity that million of people seem resign to even the most preventable horror — do you possibly make a film that resonates with this amnesiac nation in a way that regular image of murder club-goers concert attendee religious worshipper multiplex patron
Shirley,8,when the news first broke that madeline s madeline filmmaker josephine decker would be make a starry movie about the author shirley jackson it be hard not to be disappointed or at least caught by surprise that one of the most feral elastic and vividly singular artist of contemporary american cinema be follow her first masterpiece with something that might be classify a a biopic shudder speak a one of decker s still-fervent devotee the hope be that her next project would…
The Courier,5,while not quite a stiff a it title might suggest dominic cooke s ironbark be unambiguously dad cinema down to it core a confident entertain and well-upholstered historical spy thriller about a regular guy who stumble his way toward save the world it s the perfect movie for anyone who watch bridge of spy and thought if only that have be 30 minute shorter a bit less artful and a lot more british. never fear the director of on chesil beach is…
La Llorona,7,review of jayro bustamante s la llorona the weep woman be obligate to mention that this quiet and tremble phantasmagoria about the ghost of the guatemalan civil war have virtually nothing to do with michael chaves the curse of la llorona the schlocky jump-scare machine that warner bros. release last spring aside from their share root in the same piece of latin american folklore these two film couldn t have less in common one be a slow-burn séance for the victim of…
Jumbo,6,at heart zoé wittock s jumbo be a rather conventional european dramedy about a single mother the great emmanuelle bercot struggle to accept the woman her daughter have become on it surface however this pleasantly delirious feature debut tell the fable-like story of jeanne a young loner portrait of a lady on fire breakout noémie merlant who develops a deep psychosexual attraction to the tilt-a-whirl ride at the rundown belgian amusement park where she work so much that she orgasm at…
The Painter and the Thief,6,"on april 20 2015 two large oil painting be steal from oslo s galleri nobel the story didn t quite rise to the level of international news — the work be only value at €20,000 — but it be nevertheless a life-fracturing moment for barbora kysilkova a gift yet struggle young czech artist who pour her trauma into those photoreal canvas for safekeeping both of the culprit be apprehend just a few day later but kysilkova only care that neither of the…"
Miss Americana,7,taylor swift need your approval she always have a an artist and a woman she s be condition to do the right thing since she be a child to live for applause to measure her worth in pat on the head my entire moral code be a need to be thought of a ‘ good the mega-famous musician confesses at the begin of lana wilson s miss americana a safe but sincere and enormously winsome documentary about swift s long road to self-acceptance and…
